Cement (component 1)(kg in a m^3 mixture),Blast Furnace Slag (component 2)(kg in a m^3 mixture),Fly Ash (component 3)(kg in a m^3 mixture),Water  (component 4)(kg in a m^3 mixture),Superplasticizer (component 5)(kg in a m^3 mixture),Coarse Aggregate  (component 6)(kg in a m^3 mixture),Fine Aggregate (component 7)(kg in a m^3 mixture),Age (day),"Concrete compressive strength(MPa, megapascals) ",Water to Cement Ratio (W/C)
213.8 ,98.1 ,24.5 ,181.7 ,6.7 ,1066.0 ,785.5 ,3 ,13.18 ,0.850205838
213.8 ,98.1 ,24.5 ,181.7 ,6.7 ,1066.0 ,785.5 ,14 ,17.84 ,0.850205838
213.8 ,98.1 ,24.5 ,181.7 ,6.7 ,1066.0 ,785.5 ,28 ,40.23 ,0.850205838
213.8 ,98.1 ,24.5 ,181.7 ,6.7 ,1066.0 ,785.5 ,56 ,47.13 ,0.850205838
213.8 ,98.1 ,24.5 ,181.7 ,6.7 ,1066.0 ,785.5 ,100 ,49.97 ,0.850205838
229.7 ,0.0 ,118.2 ,195.2 ,6.1 ,1028.1 ,757.6 ,3 ,13.36 ,0.850008708
229.7 ,0.0 ,118.2 ,195.2 ,6.1 ,1028.1 ,757.6 ,14 ,22.32 ,0.850008708
229.7 ,0.0 ,118.2 ,195.2 ,6.1 ,1028.1 ,757.6 ,28 ,24.54 ,0.850008708
229.7 ,0.0 ,118.2 ,195.2 ,6.1 ,1028.1 ,757.6 ,56 ,31.35 ,0.850008708
229.7 ,0.0 ,118.2 ,195.2 ,6.1 ,1028.1 ,757.6 ,100 ,40.86 ,0.850008708
238.1 ,0.0 ,94.1 ,186.7 ,7.0 ,949.9 ,847.0 ,3 ,19.93 ,0.784120983
238.1 ,0.0 ,94.1 ,186.7 ,7.0 ,949.9 ,847.0 ,14 ,25.69 ,0.784120983
238.1 ,0.0 ,94.1 ,186.7 ,7.0 ,949.9 ,847.0 ,28 ,30.23 ,0.784120983
238.1 ,0.0 ,94.1 ,186.7 ,7.0 ,949.9 ,847.0 ,56 ,39.59 ,0.784120983
238.1 ,0.0 ,94.1 ,186.7 ,7.0 ,949.9 ,847.0 ,100 ,44.30 ,0.784120983
250.0 ,0.0 ,95.7 ,187.4 ,5.5 ,956.9 ,861.2 ,3 ,13.82 ,0.74968
250.0 ,0.0 ,95.7 ,187.4 ,5.5 ,956.9 ,861.2 ,14 ,24.92 ,0.74968
250.0 ,0.0 ,95.7 ,187.4 ,5.5 ,956.9 ,861.2 ,28 ,29.22 ,0.74968
250.0 ,0.0 ,95.7 ,187.4 ,5.5 ,956.9 ,861.2 ,56 ,38.33 ,0.74968
250.0 ,0.0 ,95.7 ,187.4 ,5.5 ,956.9 ,861.2 ,100 ,42.35 ,0.74968
212.5 ,0.0 ,100.4 ,159.3 ,8.7 ,1007.8 ,903.6 ,3 ,13.54 ,0.749670619
212.5 ,0.0 ,100.4 ,159.3 ,8.7 ,1007.8 ,903.6 ,14 ,26.31 ,0.749670619
212.5 ,0.0 ,100.4 ,159.3 ,8.7 ,1007.8 ,903.6 ,28 ,31.64 ,0.749670619
212.5 ,0.0 ,100.4 ,159.3 ,8.7 ,1007.8 ,903.6 ,56 ,42.55 ,0.749670619
212.5 ,0.0 ,100.4 ,159.3 ,8.7 ,1007.8 ,903.6 ,100 ,42.92 ,0.749670619
212.6 ,0.0 ,100.4 ,159.4 ,10.4 ,1003.8 ,903.8 ,3 ,13.33 ,0.749635414
212.6 ,0.0 ,100.4 ,159.4 ,10.4 ,1003.8 ,903.8 ,14 ,25.37 ,0.749635414
212.6 ,0.0 ,100.4 ,159.4 ,10.4 ,1003.8 ,903.8 ,28 ,37.40 ,0.749635414
212.6 ,0.0 ,100.4 ,159.4 ,10.4 ,1003.8 ,903.8 ,56 ,44.40 ,0.749635414
212.6 ,0.0 ,100.4 ,159.4 ,10.4 ,1003.8 ,903.8 ,100 ,47.74 ,0.749635414
212.0 ,0.0 ,124.8 ,159.0 ,7.8 ,1085.4 ,799.5 ,3 ,19.52 ,0.75
212.0 ,0.0 ,124.8 ,159.0 ,7.8 ,1085.4 ,799.5 ,14 ,31.35 ,0.75
212.0 ,0.0 ,124.8 ,159.0 ,7.8 ,1085.4 ,799.5 ,28 ,38.50 ,0.75
212.0 ,0.0 ,124.8 ,159.0 ,7.8 ,1085.4 ,799.5 ,56 ,45.08 ,0.75
212.0 ,0.0 ,124.8 ,159.0 ,7.8 ,1085.4 ,799.5 ,100 ,47.82 ,0.75
231.8 ,0.0 ,121.6 ,174.0 ,6.7 ,1056.4 ,778.5 ,3 ,15.44 ,0.750636462
231.8 ,0.0 ,121.6 ,174.0 ,6.7 ,1056.4 ,778.5 ,14 ,26.77 ,0.750636462
231.8 ,0.0 ,121.6 ,174.0 ,6.7 ,1056.4 ,778.5 ,28 ,33.73 ,0.750636462
231.8 ,0.0 ,121.6 ,174.0 ,6.7 ,1056.4 ,778.5 ,56 ,42.70 ,0.750636462
231.8 ,0.0 ,121.6 ,174.0 ,6.7 ,1056.4 ,778.5 ,100 ,45.84 ,0.750636462
251.4 ,0.0 ,118.3 ,188.5 ,5.8 ,1028.4 ,757.7 ,3 ,17.22 ,0.74969169
251.4 ,0.0 ,118.3 ,188.5 ,5.8 ,1028.4 ,757.7 ,14 ,29.93 ,0.74969169
251.4 ,0.0 ,118.3 ,188.5 ,5.8 ,1028.4 ,757.7 ,28 ,29.65 ,0.74969169
251.4 ,0.0 ,118.3 ,188.5 ,5.8 ,1028.4 ,757.7 ,56 ,36.97 ,0.74969169
251.4 ,0.0 ,118.3 ,188.5 ,5.8 ,1028.4 ,757.7 ,100 ,43.58 ,0.74969169
251.4 ,0.0 ,118.3 ,188.5 ,6.4 ,1028.4 ,757.7 ,3 ,13.12 ,0.74969169
251.4 ,0.0 ,118.3 ,188.5 ,6.4 ,1028.4 ,757.7 ,14 ,24.43 ,0.74969169
251.4 ,0.0 ,118.3 ,188.5 ,6.4 ,1028.4 ,757.7 ,28 ,32.66 ,0.74969169
251.4 ,0.0 ,118.3 ,188.5 ,6.4 ,1028.4 ,757.7 ,56 ,36.64 ,0.74969169
251.4 ,0.0 ,118.3 ,188.5 ,6.4 ,1028.4 ,757.7 ,100 ,44.21 ,0.74969169
181.4 ,0.0 ,167.0 ,169.6 ,7.6 ,1055.6 ,777.8 ,3 ,13.62 ,0.934998346
181.4 ,0.0 ,167.0 ,169.6 ,7.6 ,1055.6 ,777.8 ,14 ,21.60 ,0.934998346
181.4 ,0.0 ,167.0 ,169.6 ,7.6 ,1055.6 ,777.8 ,28 ,27.77 ,0.934998346
181.4 ,0.0 ,167.0 ,169.6 ,7.6 ,1055.6 ,777.8 ,56 ,35.57 ,0.934998346
181.4 ,0.0 ,167.0 ,169.6 ,7.6 ,1055.6 ,777.8 ,100 ,45.37 ,0.934998346
182.0 ,45.2 ,122.0 ,170.2 ,8.2 ,1059.4 ,780.7 ,3 ,7.32 ,0.935014283
182.0 ,45.2 ,122.0 ,170.2 ,8.2 ,1059.4 ,780.7 ,14 ,21.50 ,0.935014283
182.0 ,45.2 ,122.0 ,170.2 ,8.2 ,1059.4 ,780.7 ,28 ,31.27 ,0.935014283
182.0 ,45.2 ,122.0 ,170.2 ,8.2 ,1059.4 ,780.7 ,56 ,43.50 ,0.935014283
182.0 ,45.2 ,122.0 ,170.2 ,8.2 ,1059.4 ,780.7 ,100 ,48.67 ,0.935014283
168.9 ,42.2 ,124.3 ,158.3 ,10.8 ,1080.8 ,796.2 ,3 ,7.40 ,0.937529607
168.9 ,42.2 ,124.3 ,158.3 ,10.8 ,1080.8 ,796.2 ,14 ,23.51 ,0.937529607
168.9 ,42.2 ,124.3 ,158.3 ,10.8 ,1080.8 ,796.2 ,28 ,31.12 ,0.937529607
168.9 ,42.2 ,124.3 ,158.3 ,10.8 ,1080.8 ,796.2 ,56 ,39.15 ,0.937529607
168.9 ,42.2 ,124.3 ,158.3 ,10.8 ,1080.8 ,796.2 ,100 ,48.15 ,0.937529607
290.4 ,0.0 ,96.2 ,168.1 ,9.4 ,961.2 ,865.0 ,3 ,22.50 ,0.57888755
290.4 ,0.0 ,96.2 ,168.1 ,9.4 ,961.2 ,865.0 ,14 ,34.67 ,0.57888755
290.4 ,0.0 ,96.2 ,168.1 ,9.4 ,961.2 ,865.0 ,28 ,34.74 ,0.57888755
290.4 ,0.0 ,96.2 ,168.1 ,9.4 ,961.2 ,865.0 ,56 ,45.08 ,0.57888755
290.4 ,0.0 ,96.2 ,168.1 ,9.4 ,961.2 ,865.0 ,100 ,48.97 ,0.57888755
277.1 ,0.0 ,97.4 ,160.6 ,11.8 ,973.9 ,875.6 ,3 ,23.14 ,0.579678758
277.1 ,0.0 ,97.4 ,160.6 ,11.8 ,973.9 ,875.6 ,14 ,41.89 ,0.579678758
277.1 ,0.0 ,97.4 ,160.6 ,11.8 ,973.9 ,875.6 ,28 ,48.28 ,0.579678758
277.1 ,0.0 ,97.4 ,160.6 ,11.8 ,973.9 ,875.6 ,56 ,51.04 ,0.579678758
277.1 ,0.0 ,97.4 ,160.6 ,11.8 ,973.9 ,875.6 ,100 ,55.64 ,0.579678758
295.7 ,0.0 ,95.6 ,171.5 ,8.9 ,955.1 ,859.2 ,3 ,22.95 ,0.580095364
295.7 ,0.0 ,95.6 ,171.5 ,8.9 ,955.1 ,859.2 ,14 ,35.23 ,0.580095364
295.7 ,0.0 ,95.6 ,171.5 ,8.9 ,955.1 ,859.2 ,28 ,39.94 ,0.580095364
295.7 ,0.0 ,95.6 ,171.5 ,8.9 ,955.1 ,859.2 ,56 ,48.72 ,0.580095364
295.7 ,0.0 ,95.6 ,171.5 ,8.9 ,955.1 ,859.2 ,100 ,52.04 ,0.580095364
251.8 ,0.0 ,99.9 ,146.1 ,12.4 ,1006.0 ,899.8 ,3 ,21.02 ,0.580358207
251.8 ,0.0 ,99.9 ,146.1 ,12.4 ,1006.0 ,899.8 ,14 ,33.36 ,0.580358207
251.8 ,0.0 ,99.9 ,146.1 ,12.4 ,1006.0 ,899.8 ,28 ,33.94 ,0.580358207
251.8 ,0.0 ,99.9 ,146.1 ,12.4 ,1006.0 ,899.8 ,56 ,44.14 ,0.580358207
251.8 ,0.0 ,99.9 ,146.1 ,12.4 ,1006.0 ,899.8 ,100 ,45.37 ,0.580358207
249.1 ,0.0 ,98.8 ,158.1 ,12.8 ,987.8 ,889.0 ,3 ,15.36 ,0.63472501
249.1 ,0.0 ,98.8 ,158.1 ,12.8 ,987.8 ,889.0 ,14 ,28.68 ,0.63472501
249.1 ,0.0 ,98.8 ,158.1 ,12.8 ,987.8 ,889.0 ,28 ,30.85 ,0.63472501
249.1 ,0.0 ,98.8 ,158.1 ,12.8 ,987.8 ,889.0 ,56 ,42.03 ,0.63472501
249.1 ,0.0 ,98.8 ,158.1 ,12.8 ,987.8 ,889.0 ,100 ,51.06 ,0.63472501
252.3 ,0.0 ,98.8 ,146.3 ,14.2 ,987.8 ,889.0 ,3 ,21.78 ,0.579644089
252.3 ,0.0 ,98.8 ,146.3 ,14.2 ,987.8 ,889.0 ,14 ,42.29 ,0.579644089
252.3 ,0.0 ,98.8 ,146.3 ,14.2 ,987.8 ,889.0 ,28 ,50.60 ,0.579644089
252.3 ,0.0 ,98.8 ,146.3 ,14.2 ,987.8 ,889.0 ,56 ,55.83 ,0.579644089
252.3 ,0.0 ,98.8 ,146.3 ,14.2 ,987.8 ,889.0 ,100 ,60.95 ,0.579644089
246.8 ,0.0 ,125.1 ,143.3 ,12.0 ,1086.8 ,800.9 ,3 ,23.52 ,0.58056152
246.8 ,0.0 ,125.1 ,143.3 ,12.0 ,1086.8 ,800.9 ,14 ,42.22 ,0.58056152
246.8 ,0.0 ,125.1 ,143.3 ,12.0 ,1086.8 ,800.9 ,28 ,52.50 ,0.58056152
246.8 ,0.0 ,125.1 ,143.3 ,12.0 ,1086.8 ,800.9 ,56 ,60.32 ,0.58056152
246.8 ,0.0 ,125.1 ,143.3 ,12.0 ,1086.8 ,800.9 ,100 ,66.42 ,0.58056152
275.1 ,0.0 ,121.4 ,159.5 ,9.9 ,1053.6 ,777.5 ,3 ,23.80 ,0.579779692
275.1 ,0.0 ,121.4 ,159.5 ,9.9 ,1053.6 ,777.5 ,14 ,38.77 ,0.579779692
275.1 ,0.0 ,121.4 ,159.5 ,9.9 ,1053.6 ,777.5 ,28 ,51.33 ,0.579779692
275.1 ,0.0 ,121.4 ,159.5 ,9.9 ,1053.6 ,777.5 ,56 ,56.85 ,0.579779692
275.1 ,0.0 ,121.4 ,159.5 ,9.9 ,1053.6 ,777.5 ,100 ,58.61 ,0.579779692
297.2 ,0.0 ,117.5 ,174.8 ,9.5 ,1022.8 ,753.5 ,3 ,21.91 ,0.588235294
297.2 ,0.0 ,117.5 ,174.8 ,9.5 ,1022.8 ,753.5 ,14 ,36.99 ,0.588235294
297.2 ,0.0 ,117.5 ,174.8 ,9.5 ,1022.8 ,753.5 ,28 ,47.40 ,0.588235294
297.2 ,0.0 ,117.5 ,174.8 ,9.5 ,1022.8 ,753.5 ,56 ,51.96 ,0.588235294
297.2 ,0.0 ,117.5 ,174.8 ,9.5 ,1022.8 ,753.5 ,100 ,56.74 ,0.588235294
213.7 ,0.0 ,174.7 ,154.8 ,10.2 ,1053.5 ,776.4 ,3 ,17.57 ,0.724197623
213.7 ,0.0 ,174.7 ,154.8 ,10.2 ,1053.5 ,776.4 ,14 ,33.73 ,0.724197623
213.7 ,0.0 ,174.7 ,154.8 ,10.2 ,1053.5 ,776.4 ,28 ,40.15 ,0.724197623
213.7 ,0.0 ,174.7 ,154.8 ,10.2 ,1053.5 ,776.4 ,56 ,46.64 ,0.724197623
213.7 ,0.0 ,174.7 ,154.8 ,10.2 ,1053.5 ,776.4 ,100 ,50.08 ,0.724197623
213.5 ,0.0 ,174.2 ,154.6 ,11.7 ,1052.3 ,775.5 ,3 ,17.37 ,0.724168618
213.5 ,0.0 ,174.2 ,154.6 ,11.7 ,1052.3 ,775.5 ,14 ,33.70 ,0.724168618
213.5 ,0.0 ,174.2 ,154.6 ,11.7 ,1052.3 ,775.5 ,28 ,45.94 ,0.724168618
213.5 ,0.0 ,174.2 ,154.6 ,11.7 ,1052.3 ,775.5 ,56 ,51.43 ,0.724168618
213.5 ,0.0 ,174.2 ,154.6 ,11.7 ,1052.3 ,775.5 ,100 ,59.30 ,0.724168618
277.2 ,97.8 ,24.5 ,160.7 ,11.2 ,1061.7 ,782.5 ,3 ,30.45 ,0.579746744
277.2 ,97.8 ,24.5 ,160.7 ,11.2 ,1061.7 ,782.5 ,14 ,47.71 ,0.579746744
277.2 ,97.8 ,24.5 ,160.7 ,11.2 ,1061.7 ,782.5 ,28 ,63.14 ,0.579746744
277.2 ,97.8 ,24.5 ,160.7 ,11.2 ,1061.7 ,782.5 ,56 ,66.82 ,0.579746744
277.2 ,97.8 ,24.5 ,160.7 ,11.2 ,1061.7 ,782.5 ,100 ,66.95 ,0.579746744
218.2 ,54.6 ,123.8 ,140.8 ,11.9 ,1075.7 ,792.7 ,3 ,27.42 ,0.644961738
218.2 ,54.6 ,123.8 ,140.8 ,11.9 ,1075.7 ,792.7 ,14 ,35.96 ,0.644961738
218.2 ,54.6 ,123.8 ,140.8 ,11.9 ,1075.7 ,792.7 ,28 ,55.51 ,0.644961738
218.2 ,54.6 ,123.8 ,140.8 ,11.9 ,1075.7 ,792.7 ,56 ,61.99 ,0.644961738
218.2 ,54.6 ,123.8 ,140.8 ,11.9 ,1075.7 ,792.7 ,100 ,63.53 ,0.644961738
214.9 ,53.8 ,121.9 ,155.6 ,9.6 ,1014.3 ,780.6 ,3 ,18.02 ,0.724197301
214.9 ,53.8 ,121.9 ,155.6 ,9.6 ,1014.3 ,780.6 ,14 ,38.60 ,0.724197301
214.9 ,53.8 ,121.9 ,155.6 ,9.6 ,1014.3 ,780.6 ,28 ,52.20 ,0.724197301
214.9 ,53.8 ,121.9 ,155.6 ,9.6 ,1014.3 ,780.6 ,56 ,53.96 ,0.724197301
214.9 ,53.8 ,121.9 ,155.6 ,9.6 ,1014.3 ,780.6 ,100 ,56.63 ,0.724197301
218.9 ,0.0 ,124.1 ,158.5 ,11.3 ,1078.7 ,794.9 ,3 ,15.34 ,0.724194654
218.9 ,0.0 ,124.1 ,158.5 ,11.3 ,1078.7 ,794.9 ,14 ,26.05 ,0.724194654
218.9 ,0.0 ,124.1 ,158.5 ,11.3 ,1078.7 ,794.9 ,28 ,30.22 ,0.724194654
218.9 ,0.0 ,124.1 ,158.5 ,11.3 ,1078.7 ,794.9 ,56 ,37.27 ,0.724194654
218.9 ,0.0 ,124.1 ,158.5 ,11.3 ,1078.7 ,794.9 ,100 ,46.23 ,0.724194654
376.0 ,0.0 ,0.0 ,214.6 ,0.0 ,1003.5 ,762.4 ,3 ,16.28 ,0.570744681
376.0 ,0.0 ,0.0 ,214.6 ,0.0 ,1003.5 ,762.4 ,14 ,25.62 ,0.570744681
376.0 ,0.0 ,0.0 ,214.6 ,0.0 ,1003.5 ,762.4 ,28 ,31.97 ,0.570744681
376.0 ,0.0 ,0.0 ,214.6 ,0.0 ,1003.5 ,762.4 ,56 ,36.30 ,0.570744681
376.0 ,0.0 ,0.0 ,214.6 ,0.0 ,1003.5 ,762.4 ,100 ,43.06 ,0.570744681
500.0 ,0.0 ,0.0 ,140.0 ,4.0 ,966.0 ,853.0 ,28 ,67.57 ,0.28
475.0 ,0.0 ,59.0 ,142.0 ,1.9 ,1098.0 ,641.0 ,28 ,57.23 ,0.298947368
315.0 ,137.0 ,0.0 ,145.0 ,5.9 ,1130.0 ,745.0 ,28 ,81.75 ,0.46031746
505.0 ,0.0 ,60.0 ,195.0 ,0.0 ,1030.0 ,630.0 ,28 ,64.02 ,0.386138614
451.0 ,0.0 ,0.0 ,165.0 ,11.3 ,1030.0 ,745.0 ,28 ,78.80 ,0.365853659
516.0 ,0.0 ,0.0 ,162.0 ,8.2 ,801.0 ,802.0 ,28 ,41.37 ,0.313953488
520.0 ,0.0 ,0.0 ,170.0 ,5.2 ,855.0 ,855.0 ,28 ,60.28 ,0.326923077
528.0 ,0.0 ,0.0 ,185.0 ,6.9 ,920.0 ,720.0 ,28 ,56.83 ,0.350378788
520.0 ,0.0 ,0.0 ,175.0 ,5.2 ,870.0 ,805.0 ,28 ,51.02 ,0.336538462
385.0 ,0.0 ,136.0 ,158.0 ,20.0 ,903.0 ,768.0 ,28 ,55.55 ,0.41038961
500.1 ,0.0 ,0.0 ,200.0 ,3.0 ,1124.4 ,613.2 ,28 ,44.13 ,0.399920016
450.1 ,50.0 ,0.0 ,200.0 ,3.0 ,1124.4 ,613.2 ,28 ,39.38 ,0.444345701
397.0 ,17.2 ,158.0 ,167.0 ,20.8 ,967.0 ,633.0 ,28 ,55.65 ,0.420654912
333.0 ,17.5 ,163.0 ,167.0 ,17.9 ,996.0 ,652.0 ,28 ,47.28 ,0.501501502
334.0 ,17.6 ,158.0 ,189.0 ,15.3 ,967.0 ,633.0 ,28 ,44.33 ,0.565868263
405.0 ,0.0 ,0.0 ,175.0 ,0.0 ,1120.0 ,695.0 ,28 ,52.30 ,0.432098765
200.0 ,200.0 ,0.0 ,190.0 ,0.0 ,1145.0 ,660.0 ,28 ,49.25 ,0.95
516.0 ,0.0 ,0.0 ,162.0 ,8.3 ,801.0 ,802.0 ,28 ,41.37 ,0.313953488
145.0 ,116.0 ,119.0 ,184.0 ,5.7 ,833.0 ,880.0 ,28 ,29.16 ,1.268965517
160.0 ,128.0 ,122.0 ,182.0 ,6.4 ,824.0 ,879.0 ,28 ,39.40 ,1.1375
234.0 ,156.0 ,0.0 ,189.0 ,5.9 ,981.0 ,760.0 ,28 ,39.30 ,0.807692308
250.0 ,180.0 ,95.0 ,159.0 ,9.5 ,860.0 ,800.0 ,28 ,67.87 ,0.636
475.0 ,0.0 ,0.0 ,162.0 ,9.5 ,1044.0 ,662.0 ,28 ,58.52 ,0.341052632
285.0 ,190.0 ,0.0 ,163.0 ,7.6 ,1031.0 ,685.0 ,28 ,53.58 ,0.571929825
356.0 ,119.0 ,0.0 ,160.0 ,9.0 ,1061.0 ,657.0 ,28 ,59.00 ,0.449438202
275.0 ,180.0 ,120.0 ,162.0 ,10.4 ,830.0 ,765.0 ,28 ,76.24 ,0.589090909
500.0 ,0.0 ,0.0 ,151.0 ,9.0 ,1033.0 ,655.0 ,28 ,69.84 ,0.302
165.0 ,0.0 ,143.6 ,163.8 ,0.0 ,1005.6 ,900.9 ,3 ,14.40 ,0.992787879
165.0 ,128.5 ,132.1 ,175.1 ,8.1 ,1005.8 ,746.6 ,3 ,19.42 ,1.060969697
178.0 ,129.8 ,118.6 ,179.9 ,3.6 ,1007.3 ,746.8 ,3 ,20.73 ,1.010728529
167.4 ,129.9 ,128.6 ,175.5 ,7.8 ,1006.3 ,746.6 ,3 ,14.94 ,1.048461309
172.4 ,13.6 ,172.4 ,156.8 ,4.1 ,1006.3 ,856.4 ,3 ,21.29 ,0.90938624
173.5 ,50.1 ,173.5 ,164.8 ,6.5 ,1006.2 ,793.5 ,3 ,23.08 ,0.9494641
167.0 ,75.4 ,167.0 ,164.0 ,7.9 ,1007.3 ,770.1 ,3 ,15.52 ,0.982215569
173.8 ,93.4 ,159.9 ,172.3 ,9.7 ,1007.2 ,746.6 ,3 ,15.82 ,0.991542489
190.3 ,0.0 ,125.2 ,166.6 ,9.9 ,1079.0 ,798.9 ,3 ,12.55 ,0.87532836
250.0 ,0.0 ,95.7 ,191.8 ,5.3 ,948.9 ,857.2 ,3 ,8.49 ,0.76736
213.5 ,0.0 ,174.2 ,159.2 ,11.7 ,1043.6 ,771.9 ,3 ,15.61 ,0.745714286
194.7 ,0.0 ,100.5 ,170.2 ,7.5 ,998.0 ,901.8 ,3 ,12.18 ,0.874101089
251.4 ,0.0 ,118.3 ,192.9 ,5.8 ,1043.6 ,754.3 ,3 ,11.98 ,0.767553805
165.0 ,0.0 ,143.6 ,163.8 ,0.0 ,1005.6 ,900.9 ,14 ,16.88 ,0.992787879
165.0 ,128.5 ,132.1 ,175.1 ,8.1 ,1005.8 ,746.6 ,14 ,33.09 ,1.060969697
178.0 ,129.8 ,118.6 ,179.9 ,3.6 ,1007.3 ,746.8 ,14 ,34.24 ,1.010728529
167.4 ,129.9 ,128.6 ,175.5 ,7.8 ,1006.3 ,746.6 ,14 ,31.81 ,1.048461309
172.4 ,13.6 ,172.4 ,156.8 ,4.1 ,1006.3 ,856.4 ,14 ,29.75 ,0.90938624
173.5 ,50.1 ,173.5 ,164.8 ,6.5 ,1006.2 ,793.5 ,14 ,33.01 ,0.9494641
167.0 ,75.4 ,167.0 ,164.0 ,7.9 ,1007.3 ,770.1 ,14 ,32.90 ,0.982215569
173.8 ,93.4 ,159.9 ,172.3 ,9.7 ,1007.2 ,746.6 ,14 ,29.55 ,0.991542489
190.3 ,0.0 ,125.2 ,166.6 ,9.9 ,1079.0 ,798.9 ,14 ,19.42 ,0.87532836
250.0 ,0.0 ,95.7 ,191.8 ,5.3 ,948.9 ,857.2 ,14 ,24.66 ,0.76736
213.5 ,0.0 ,174.2 ,159.2 ,11.7 ,1043.6 ,771.9 ,14 ,29.59 ,0.745714286
194.7 ,0.0 ,100.5 ,170.2 ,7.5 ,998.0 ,901.8 ,14 ,24.28 ,0.874101089
251.4 ,0.0 ,118.3 ,192.9 ,5.8 ,1043.6 ,754.3 ,14 ,20.73 ,0.767553805
165.0 ,0.0 ,143.6 ,163.8 ,0.0 ,1005.6 ,900.9 ,28 ,26.20 ,0.992787879
165.0 ,128.5 ,132.1 ,175.1 ,8.1 ,1005.8 ,746.6 ,28 ,46.39 ,1.060969697
178.0 ,129.8 ,118.6 ,179.9 ,3.6 ,1007.3 ,746.8 ,28 ,39.16 ,1.010728529
167.4 ,129.9 ,128.6 ,175.5 ,7.8 ,1006.3 ,746.6 ,28 ,41.20 ,1.048461309
172.4 ,13.6 ,172.4 ,156.8 ,4.1 ,1006.3 ,856.4 ,28 ,33.69 ,0.90938624
173.5 ,50.1 ,173.5 ,164.8 ,6.5 ,1006.2 ,793.5 ,28 ,38.20 ,0.9494641
167.0 ,75.4 ,167.0 ,164.0 ,7.9 ,1007.3 ,770.1 ,28 ,41.41 ,0.982215569
173.8 ,93.4 ,159.9 ,172.3 ,9.7 ,1007.2 ,746.6 ,28 ,37.81 ,0.991542489
190.3 ,0.0 ,125.2 ,166.6 ,9.9 ,1079.0 ,798.9 ,28 ,24.85 ,0.87532836
250.0 ,0.0 ,95.7 ,191.8 ,5.3 ,948.9 ,857.2 ,28 ,27.22 ,0.76736
213.5 ,0.0 ,174.2 ,159.2 ,11.7 ,1043.6 ,771.9 ,28 ,44.64 ,0.745714286
194.7 ,0.0 ,100.5 ,170.2 ,7.5 ,998.0 ,901.8 ,28 ,37.27 ,0.874101089
251.4 ,0.0 ,118.3 ,192.9 ,5.8 ,1043.6 ,754.3 ,28 ,33.27 ,0.767553805
165.0 ,0.0 ,143.6 ,163.8 ,0.0 ,1005.6 ,900.9 ,56 ,36.56 ,0.992787879
165.0 ,128.5 ,132.1 ,175.1 ,8.1 ,1005.8 ,746.6 ,56 ,53.72 ,1.060969697
178.0 ,129.8 ,118.6 ,179.9 ,3.6 ,1007.3 ,746.8 ,56 ,48.59 ,1.010728529
167.4 ,129.9 ,128.6 ,175.5 ,7.8 ,1006.3 ,746.6 ,56 ,51.72 ,1.048461309
172.4 ,13.6 ,172.4 ,156.8 ,4.1 ,1006.3 ,856.4 ,56 ,35.85 ,0.90938624
173.5 ,50.1 ,173.5 ,164.8 ,6.5 ,1006.2 ,793.5 ,56 ,53.77 ,0.9494641
167.0 ,75.4 ,167.0 ,164.0 ,7.9 ,1007.3 ,770.1 ,56 ,53.46 ,0.982215569
173.8 ,93.4 ,159.9 ,172.3 ,9.7 ,1007.2 ,746.6 ,56 ,48.99 ,0.991542489
190.3 ,0.0 ,125.2 ,166.6 ,9.9 ,1079.0 ,798.9 ,56 ,31.72 ,0.87532836
250.0 ,0.0 ,95.7 ,191.8 ,5.3 ,948.9 ,857.2 ,56 ,39.64 ,0.76736
213.5 ,0.0 ,174.2 ,159.2 ,11.7 ,1043.6 ,771.9 ,56 ,51.26 ,0.745714286
194.7 ,0.0 ,100.5 ,170.2 ,7.5 ,998.0 ,901.8 ,56 ,43.39 ,0.874101089
251.4 ,0.0 ,118.3 ,192.9 ,5.8 ,1043.6 ,754.3 ,56 ,39.27 ,0.767553805
165.0 ,0.0 ,143.6 ,163.8 ,0.0 ,1005.6 ,900.9 ,100 ,37.96 ,0.992787879
165.0 ,128.5 ,132.1 ,175.1 ,8.1 ,1005.8 ,746.6 ,100 ,55.02 ,1.060969697
178.0 ,129.8 ,118.6 ,179.9 ,3.6 ,1007.3 ,746.8 ,100 ,49.99 ,1.010728529
167.4 ,129.9 ,128.6 ,175.5 ,7.8 ,1006.3 ,746.6 ,100 ,53.66 ,1.048461309
172.4 ,13.6 ,172.4 ,156.8 ,4.1 ,1006.3 ,856.4 ,100 ,37.68 ,0.90938624
173.5 ,50.1 ,173.5 ,164.8 ,6.5 ,1006.2 ,793.5 ,100 ,56.06 ,0.9494641
167.0 ,75.4 ,167.0 ,164.0 ,7.9 ,1007.3 ,770.1 ,100 ,56.81 ,0.982215569
173.8 ,93.4 ,159.9 ,172.3 ,9.7 ,1007.2 ,746.6 ,100 ,50.94 ,0.991542489
190.3 ,0.0 ,125.2 ,166.6 ,9.9 ,1079.0 ,798.9 ,100 ,33.56 ,0.87532836
250.0 ,0.0 ,95.7 ,191.8 ,5.3 ,948.9 ,857.2 ,100 ,41.16 ,0.76736
213.5 ,0.0 ,174.2 ,159.2 ,11.7 ,1043.6 ,771.9 ,100 ,52.96 ,0.745714286
