Cement (component 1)(kg in a m^3 mixture),Blast Furnace Slag (component 2)(kg in a m^3 mixture),Fly Ash (component 3)(kg in a m^3 mixture),Water  (component 4)(kg in a m^3 mixture),Superplasticizer (component 5)(kg in a m^3 mixture),Coarse Aggregate  (component 6)(kg in a m^3 mixture),Fine Aggregate (component 7)(kg in a m^3 mixture),Age (day),"Concrete compressive strength(MPa, megapascals) ",Water to Cement Ratio (W/C),Blast Furnace/Cement,Fly Ash/Cement
251.8,0,99.9,146.1,12.4,1006,899.8,28,33.94,0.580358207,0,0.396743447
251.8,0,99.9,146.1,12.4,1006,899.8,56,44.14,0.580358207,0,0.396743447
251.8,0,99.9,146.1,12.4,1006,899.8,100,45.37,0.580358207,0,0.396743447
249.1,0,98.8,158.1,12.8,987.8,889,3,15.36,0.63472501,0,0.39662786
249.1,0,98.8,158.1,12.8,987.8,889,14,28.68,0.63472501,0,0.39662786
249.1,0,98.8,158.1,12.8,987.8,889,28,30.85,0.63472501,0,0.39662786
249.1,0,98.8,158.1,12.8,987.8,889,56,42.03,0.63472501,0,0.39662786
249.1,0,98.8,158.1,12.8,987.8,889,100,51.06,0.63472501,0,0.39662786
252.3,0,98.8,146.3,14.2,987.8,889,3,21.78,0.579644089,0,0.391597305
252.3,0,98.8,146.3,14.2,987.8,889,14,42.29,0.579644089,0,0.391597305
252.3,0,98.8,146.3,14.2,987.8,889,28,50.6,0.579644089,0,0.391597305
252.3,0,98.8,146.3,14.2,987.8,889,56,55.83,0.579644089,0,0.391597305
252.3,0,98.8,146.3,14.2,987.8,889,100,60.95,0.579644089,0,0.391597305
246.8,0,125.1,143.3,12,1086.8,800.9,3,23.52,0.58056152,0,0.506888169
246.8,0,125.1,143.3,12,1086.8,800.9,14,42.22,0.58056152,0,0.506888169
246.8,0,125.1,143.3,12,1086.8,800.9,28,52.5,0.58056152,0,0.506888169
246.8,0,125.1,143.3,12,1086.8,800.9,56,60.32,0.58056152,0,0.506888169
246.8,0,125.1,143.3,12,1086.8,800.9,100,66.42,0.58056152,0,0.506888169
275.1,0,121.4,159.5,9.9,1053.6,777.5,3,23.8,0.579779692,0,0.441294075
275.1,0,121.4,159.5,9.9,1053.6,777.5,14,38.77,0.579779692,0,0.441294075
275.1,0,121.4,159.5,9.9,1053.6,777.5,28,51.33,0.579779692,0,0.441294075
275.1,0,121.4,159.5,9.9,1053.6,777.5,56,56.85,0.579779692,0,0.441294075
275.1,0,121.4,159.5,9.9,1053.6,777.5,100,58.61,0.579779692,0,0.441294075
297.2,0,117.5,174.8,9.5,1022.8,753.5,3,21.91,0.588235294,0,0.395356662
297.2,0,117.5,174.8,9.5,1022.8,753.5,14,36.99,0.588235294,0,0.395356662
297.2,0,117.5,174.8,9.5,1022.8,753.5,28,47.4,0.588235294,0,0.395356662
297.2,0,117.5,174.8,9.5,1022.8,753.5,56,51.96,0.588235294,0,0.395356662
297.2,0,117.5,174.8,9.5,1022.8,753.5,100,56.74,0.588235294,0,0.395356662
213.7,0,174.7,154.8,10.2,1053.5,776.4,3,17.57,0.724197623,0,0.81750117
213.7,0,174.7,154.8,10.2,1053.5,776.4,14,33.73,0.724197623,0,0.81750117
213.7,0,174.7,154.8,10.2,1053.5,776.4,28,40.15,0.724197623,0,0.81750117
213.7,0,174.7,154.8,10.2,1053.5,776.4,56,46.64,0.724197623,0,0.81750117
213.7,0,174.7,154.8,10.2,1053.5,776.4,100,50.08,0.724197623,0,0.81750117
213.5,0,174.2,154.6,11.7,1052.3,775.5,3,17.37,0.724168618,0,0.815925059
213.5,0,174.2,154.6,11.7,1052.3,775.5,14,33.7,0.724168618,0,0.815925059
213.5,0,174.2,154.6,11.7,1052.3,775.5,28,45.94,0.724168618,0,0.815925059
213.5,0,174.2,154.6,11.7,1052.3,775.5,56,51.43,0.724168618,0,0.815925059
213.5,0,174.2,154.6,11.7,1052.3,775.5,100,59.3,0.724168618,0,0.815925059
277.2,97.8,24.5,160.7,11.2,1061.7,782.5,3,30.45,0.579746744,0.352813853,0.088383838
277.2,97.8,24.5,160.7,11.2,1061.7,782.5,14,47.71,0.579746744,0.352813853,0.088383838
277.2,97.8,24.5,160.7,11.2,1061.7,782.5,28,63.14,0.579746744,0.352813853,0.088383838
277.2,97.8,24.5,160.7,11.2,1061.7,782.5,56,66.82,0.579746744,0.352813853,0.088383838
277.2,97.8,24.5,160.7,11.2,1061.7,782.5,100,66.95,0.579746744,0.352813853,0.088383838
218.2,54.6,123.8,140.8,11.9,1075.7,792.7,3,27.42,0.644961738,0.250229148,0.567369386
218.2,54.6,123.8,140.8,11.9,1075.7,792.7,14,35.96,0.644961738,0.250229148,0.567369386
218.2,54.6,123.8,140.8,11.9,1075.7,792.7,28,55.51,0.644961738,0.250229148,0.567369386
218.2,54.6,123.8,140.8,11.9,1075.7,792.7,56,61.99,0.644961738,0.250229148,0.567369386
218.2,54.6,123.8,140.8,11.9,1075.7,792.7,100,63.53,0.644961738,0.250229148,0.567369386
214.9,53.8,121.9,155.6,9.6,1014.3,780.6,3,18.02,0.724197301,0.250349,0.567240577
214.9,53.8,121.9,155.6,9.6,1014.3,780.6,14,38.6,0.724197301,0.250349,0.567240577
214.9,53.8,121.9,155.6,9.6,1014.3,780.6,28,52.2,0.724197301,0.250349,0.567240577
214.9,53.8,121.9,155.6,9.6,1014.3,780.6,56,53.96,0.724197301,0.250349,0.567240577
214.9,53.8,121.9,155.6,9.6,1014.3,780.6,100,56.63,0.724197301,0.250349,0.567240577
218.9,0,124.1,158.5,11.3,1078.7,794.9,3,15.34,0.724194654,0,0.566925537
218.9,0,124.1,158.5,11.3,1078.7,794.9,14,26.05,0.724194654,0,0.566925537
218.9,0,124.1,158.5,11.3,1078.7,794.9,28,30.22,0.724194654,0,0.566925537
218.9,0,124.1,158.5,11.3,1078.7,794.9,56,37.27,0.724194654,0,0.566925537
218.9,0,124.1,158.5,11.3,1078.7,794.9,100,46.23,0.724194654,0,0.566925537
376,0,0,214.6,0,1003.5,762.4,3,16.28,0.570744681,0,0
376,0,0,214.6,0,1003.5,762.4,14,25.62,0.570744681,0,0
376,0,0,214.6,0,1003.5,762.4,28,31.97,0.570744681,0,0
376,0,0,214.6,0,1003.5,762.4,56,36.3,0.570744681,0,0
376,0,0,214.6,0,1003.5,762.4,100,43.06,0.570744681,0,0
500,0,0,140,4,966,853,28,67.57,0.28,0,0
475,0,59,142,1.9,1098,641,28,57.23,0.298947368,0,0.124210526
315,137,0,145,5.9,1130,745,28,81.75,0.46031746,0.434920635,0
505,0,60,195,0,1030,630,28,64.02,0.386138614,0,0.118811881
451,0,0,165,11.3,1030,745,28,78.8,0.365853659,0,0
516,0,0,162,8.2,801,802,28,41.37,0.313953488,0,0
520,0,0,170,5.2,855,855,28,60.28,0.326923077,0,0
528,0,0,185,6.9,920,720,28,56.83,0.350378788,0,0
520,0,0,175,5.2,870,805,28,51.02,0.336538462,0,0
385,0,136,158,20,903,768,28,55.55,0.41038961,0,0.353246753
500.1,0,0,200,3,1124.4,613.2,28,44.13,0.399920016,0,0
450.1,50,0,200,3,1124.4,613.2,28,39.38,0.444345701,0.111086425,0
397,17.2,158,167,20.8,967,633,28,55.65,0.420654912,0.043324937,0.397984887
333,17.5,163,167,17.9,996,652,28,47.28,0.501501502,0.052552553,0.489489489
334,17.6,158,189,15.3,967,633,28,44.33,0.565868263,0.052694611,0.473053892
405,0,0,175,0,1120,695,28,52.3,0.432098765,0,0
200,200,0,190,0,1145,660,28,49.25,0.95,1,0
516,0,0,162,8.3,801,802,28,41.37,0.313953488,0,0
145,116,119,184,5.7,833,880,28,29.16,1.268965517,0.8,0.820689655
160,128,122,182,6.4,824,879,28,39.4,1.1375,0.8,0.7625
234,156,0,189,5.9,981,760,28,39.3,0.807692308,0.666666667,0
250,180,95,159,9.5,860,800,28,67.87,0.636,0.72,0.38
475,0,0,162,9.5,1044,662,28,58.52,0.341052632,0,0
285,190,0,163,7.6,1031,685,28,53.58,0.571929825,0.666666667,0
356,119,0,160,9,1061,657,28,59,0.449438202,0.334269663,0
275,180,120,162,10.4,830,765,28,76.24,0.589090909,0.654545455,0.436363636
500,0,0,151,9,1033,655,28,69.84,0.302,0,0
165,0,143.6,163.8,0,1005.6,900.9,3,14.4,0.992787879,0,0.87030303
165,128.5,132.1,175.1,8.1,1005.8,746.6,3,19.42,1.060969697,0.778787879,0.800606061
178,129.8,118.6,179.9,3.6,1007.3,746.8,3,20.73,1.010728529,0.729213483,0.666292135
167.4,129.9,128.6,175.5,7.8,1006.3,746.6,3,14.94,1.048461309,0.775985663,0.768219833
172.4,13.6,172.4,156.8,4.1,1006.3,856.4,3,21.29,0.90938624,0.078886311,1
173.5,50.1,173.5,164.8,6.5,1006.2,793.5,3,23.08,0.9494641,0.288760807,1
167,75.4,167,164,7.9,1007.3,770.1,3,15.52,0.982215569,0.451497006,1
173.8,93.4,159.9,172.3,9.7,1007.2,746.6,3,15.82,0.991542489,0.53739931,0.920023015
190.3,0,125.2,166.6,9.9,1079,798.9,3,12.55,0.87532836,0,0.657908565
250,0,95.7,191.8,5.3,948.9,857.2,3,8.49,0.76736,0,0.3828
213.5,0,174.2,159.2,11.7,1043.6,771.9,3,15.61,0.745714286,0,0.815925059
194.7,0,100.5,170.2,7.5,998,901.8,3,12.18,0.874101089,0,0.516178737
251.4,0,118.3,192.9,5.8,1043.6,754.3,3,11.98,0.767553805,0,0.470564837
165,0,143.6,163.8,0,1005.6,900.9,14,16.88,0.992787879,0,0.87030303
165,128.5,132.1,175.1,8.1,1005.8,746.6,14,33.09,1.060969697,0.778787879,0.800606061
178,129.8,118.6,179.9,3.6,1007.3,746.8,14,34.24,1.010728529,0.729213483,0.666292135
167.4,129.9,128.6,175.5,7.8,1006.3,746.6,14,31.81,1.048461309,0.775985663,0.768219833
172.4,13.6,172.4,156.8,4.1,1006.3,856.4,14,29.75,0.90938624,0.078886311,1
173.5,50.1,173.5,164.8,6.5,1006.2,793.5,14,33.01,0.9494641,0.288760807,1
167,75.4,167,164,7.9,1007.3,770.1,14,32.9,0.982215569,0.451497006,1
173.8,93.4,159.9,172.3,9.7,1007.2,746.6,14,29.55,0.991542489,0.53739931,0.920023015
190.3,0,125.2,166.6,9.9,1079,798.9,14,19.42,0.87532836,0,0.657908565
250,0,95.7,191.8,5.3,948.9,857.2,14,24.66,0.76736,0,0.3828
213.5,0,174.2,159.2,11.7,1043.6,771.9,14,29.59,0.745714286,0,0.815925059
194.7,0,100.5,170.2,7.5,998,901.8,14,24.28,0.874101089,0,0.516178737
251.4,0,118.3,192.9,5.8,1043.6,754.3,14,20.73,0.767553805,0,0.470564837
165,0,143.6,163.8,0,1005.6,900.9,28,26.2,0.992787879,0,0.87030303
165,128.5,132.1,175.1,8.1,1005.8,746.6,28,46.39,1.060969697,0.778787879,0.800606061
178,129.8,118.6,179.9,3.6,1007.3,746.8,28,39.16,1.010728529,0.729213483,0.666292135
167.4,129.9,128.6,175.5,7.8,1006.3,746.6,28,41.2,1.048461309,0.775985663,0.768219833
172.4,13.6,172.4,156.8,4.1,1006.3,856.4,28,33.69,0.90938624,0.078886311,1
173.5,50.1,173.5,164.8,6.5,1006.2,793.5,28,38.2,0.9494641,0.288760807,1
167,75.4,167,164,7.9,1007.3,770.1,28,41.41,0.982215569,0.451497006,1
173.8,93.4,159.9,172.3,9.7,1007.2,746.6,28,37.81,0.991542489,0.53739931,0.920023015
190.3,0,125.2,166.6,9.9,1079,798.9,28,24.85,0.87532836,0,0.657908565
250,0,95.7,191.8,5.3,948.9,857.2,28,27.22,0.76736,0,0.3828
213.5,0,174.2,159.2,11.7,1043.6,771.9,28,44.64,0.745714286,0,0.815925059
194.7,0,100.5,170.2,7.5,998,901.8,28,37.27,0.874101089,0,0.516178737
251.4,0,118.3,192.9,5.8,1043.6,754.3,28,33.27,0.767553805,0,0.470564837
165,0,143.6,163.8,0,1005.6,900.9,56,36.56,0.992787879,0,0.87030303
165,128.5,132.1,175.1,8.1,1005.8,746.6,56,53.72,1.060969697,0.778787879,0.800606061
178,129.8,118.6,179.9,3.6,1007.3,746.8,56,48.59,1.010728529,0.729213483,0.666292135
167.4,129.9,128.6,175.5,7.8,1006.3,746.6,56,51.72,1.048461309,0.775985663,0.768219833
172.4,13.6,172.4,156.8,4.1,1006.3,856.4,56,35.85,0.90938624,0.078886311,1
173.5,50.1,173.5,164.8,6.5,1006.2,793.5,56,53.77,0.9494641,0.288760807,1
167,75.4,167,164,7.9,1007.3,770.1,56,53.46,0.982215569,0.451497006,1
173.8,93.4,159.9,172.3,9.7,1007.2,746.6,56,48.99,0.991542489,0.53739931,0.920023015
190.3,0,125.2,166.6,9.9,1079,798.9,56,31.72,0.87532836,0,0.657908565
250,0,95.7,191.8,5.3,948.9,857.2,56,39.64,0.76736,0,0.3828
213.5,0,174.2,159.2,11.7,1043.6,771.9,56,51.26,0.745714286,0,0.815925059
194.7,0,100.5,170.2,7.5,998,901.8,56,43.39,0.874101089,0,0.516178737
251.4,0,118.3,192.9,5.8,1043.6,754.3,56,39.27,0.767553805,0,0.470564837
165,0,143.6,163.8,0,1005.6,900.9,100,37.96,0.992787879,0,0.87030303
165,128.5,132.1,175.1,8.1,1005.8,746.6,100,55.02,1.060969697,0.778787879,0.800606061
178,129.8,118.6,179.9,3.6,1007.3,746.8,100,49.99,1.010728529,0.729213483,0.666292135
167.4,129.9,128.6,175.5,7.8,1006.3,746.6,100,53.66,1.048461309,0.775985663,0.768219833
172.4,13.6,172.4,156.8,4.1,1006.3,856.4,100,37.68,0.90938624,0.078886311,1
173.5,50.1,173.5,164.8,6.5,1006.2,793.5,100,56.06,0.9494641,0.288760807,1
167,75.4,167,164,7.9,1007.3,770.1,100,56.81,0.982215569,0.451497006,1
173.8,93.4,159.9,172.3,9.7,1007.2,746.6,100,50.94,0.991542489,0.53739931,0.920023015
190.3,0,125.2,166.6,9.9,1079,798.9,100,33.56,0.87532836,0,0.657908565
250,0,95.7,191.8,5.3,948.9,857.2,100,41.16,0.76736,0,0.3828
213.5,0,174.2,159.2,11.7,1043.6,771.9,100,52.96,0.745714286,0,0.815925059
194.7,0,100.5,170.2,7.5,998,901.8,100,44.28,0.874101089,0,0.516178737
251.4,0,118.3,192.9,5.8,1043.6,754.3,100,40.15,0.767553805,0,0.470564837
446,24,79,162,11.6,967,712,28,57.03,0.3632287,0.053811659,0.177130045
446,24,79,162,11.6,967,712,28,44.42,0.3632287,0.053811659,0.177130045
446,24,79,162,11.6,967,712,28,51.02,0.3632287,0.053811659,0.177130045
446,24,79,162,10.3,967,712,28,53.39,0.3632287,0.053811659,0.177130045
446,24,79,162,11.6,967,712,3,35.36,0.3632287,0.053811659,0.177130045
446,24,79,162,11.6,967,712,3,25.02,0.3632287,0.053811659,0.177130045
446,24,79,162,11.6,967,712,3,23.35,0.3632287,0.053811659,0.177130045
446,24,79,162,11.6,967,712,7,52.01,0.3632287,0.053811659,0.177130045
446,24,79,162,11.6,967,712,7,38.02,0.3632287,0.053811659,0.177130045
446,24,79,162,11.6,967,712,7,39.3,0.3632287,0.053811659,0.177130045
446,24,79,162,11.6,967,712,56,61.07,0.3632287,0.053811659,0.177130045
446,24,79,162,11.6,967,712,56,56.14,0.3632287,0.053811659,0.177130045
446,24,79,162,11.6,967,712,56,55.25,0.3632287,0.053811659,0.177130045
446,24,79,162,10.3,967,712,56,54.77,0.3632287,0.053811659,0.177130045
387,20,94,157,14.3,938,845,28,50.24,0.405684755,0.051679587,0.242894057
387,20,94,157,13.9,938,845,28,46.68,0.405684755,0.051679587,0.242894057
387,20,94,157,11.6,938,845,28,46.68,0.405684755,0.051679587,0.242894057
387,20,94,157,14.3,938,845,3,22.75,0.405684755,0.051679587,0.242894057
387,20,94,157,13.9,938,845,3,25.51,0.405684755,0.051679587,0.242894057
387,20,94,157,11.6,938,845,3,34.77,0.405684755,0.051679587,0.242894057
387,20,94,157,14.3,938,845,7,36.84,0.405684755,0.051679587,0.242894057
387,20,94,157,13.9,938,845,7,45.9,0.405684755,0.051679587,0.242894057
387,20,94,157,11.6,938,845,7,41.67,0.405684755,0.051679587,0.242894057
387,20,94,157,14.3,938,845,56,56.34,0.405684755,0.051679587,0.242894057
387,20,94,157,13.9,938,845,56,47.97,0.405684755,0.051679587,0.242894057
387,20,94,157,11.6,938,845,56,61.46,0.405684755,0.051679587,0.242894057
355,19,97,145,13.1,967,871,28,44.03,0.408450704,0.053521127,0.273239437
355,19,97,145,12.3,967,871,28,55.45,0.408450704,0.053521127,0.273239437
491,26,123,210,3.9,882,699,28,55.55,0.427698574,0.052953157,0.250509165
491,26,123,201,3.9,822,699,28,57.92,0.409368635,0.052953157,0.250509165
491,26,123,210,3.9,882,699,3,25.61,0.427698574,0.052953157,0.250509165
491,26,123,210,3.9,882,699,7,33.49,0.427698574,0.052953157,0.250509165
491,26,123,210,3.9,882,699,56,59.59,0.427698574,0.052953157,0.250509165
491,26,123,201,3.9,822,699,3,29.55,0.409368635,0.052953157,0.250509165
491,26,123,201,3.9,822,699,7,37.92,0.409368635,0.052953157,0.250509165
491,26,123,201,3.9,822,699,56,61.86,0.409368635,0.052953157,0.250509165
424,22,132,178,8.5,822,750,28,62.05,0.419811321,0.051886792,0.311320755
424,22,132,178,8.5,882,750,3,32.01,0.419811321,0.051886792,0.311320755
424,22,132,168,8.9,822,750,28,72.1,0.396226415,0.051886792,0.311320755
424,22,132,178,8.5,822,750,7,39,0.419811321,0.051886792,0.311320755
424,22,132,178,8.5,822,750,56,65.7,0.419811321,0.051886792,0.311320755
424,22,132,168,8.9,822,750,3,32.11,0.396226415,0.051886792,0.311320755
424,22,132,168,8.9,822,750,7,40.29,0.396226415,0.051886792,0.311320755
424,22,132,168,8.9,822,750,56,74.36,0.396226415,0.051886792,0.311320755
202,11,141,206,1.7,942,801,28,21.97,1.01980198,0.054455446,0.698019802
202,11,141,206,1.7,942,801,3,9.85,1.01980198,0.054455446,0.698019802
202,11,141,206,1.7,942,801,7,15.07,1.01980198,0.054455446,0.698019802
202,11,141,206,1.7,942,801,56,23.25,1.01980198,0.054455446,0.698019802
284,15,141,179,5.5,842,801,28,43.73,0.63028169,0.052816901,0.496478873
284,15,141,179,5.5,842,801,3,13.4,0.63028169,0.052816901,0.496478873
284,15,141,179,5.5,842,801,7,24.13,0.63028169,0.052816901,0.496478873
284,15,141,179,5.5,842,801,56,44.52,0.63028169,0.052816901,0.496478873
359,19,141,154,10.9,942,801,28,62.94,0.428969359,0.052924791,0.39275766
359,19,141,154,10.9,942,801,28,59.49,0.428969359,0.052924791,0.39275766
359,19,141,154,10.9,942,801,3,25.12,0.428969359,0.052924791,0.39275766
359,19,141,154,10.9,942,801,3,23.64,0.428969359,0.052924791,0.39275766
359,19,141,154,10.9,942,801,7,35.75,0.428969359,0.052924791,0.39275766
359,19,141,154,10.9,942,801,7,38.61,0.428969359,0.052924791,0.39275766
359,19,141,154,10.9,942,801,56,68.75,0.428969359,0.052924791,0.39275766
359,19,141,154,10.9,942,801,56,66.78,0.428969359,0.052924791,0.39275766
436,0,0,218,0,838.4,719.7,28,23.85,0.5,0,0
289,0,0,192,0,913.2,895.3,90,32.07,0.664359862,0,0
289,0,0,192,0,913.2,895.3,3,11.65,0.664359862,0,0
393,0,0,192,0,940.6,785.6,3,19.2,0.488549618,0,0
393,0,0,192,0,940.6,785.6,90,48.85,0.488549618,0,0
393,0,0,192,0,940.6,785.6,28,39.6,0.488549618,0,0
480,0,0,192,0,936.2,712.2,28,43.94,0.4,0,0
480,0,0,192,0,936.2,712.2,7,34.57,0.4,0,0
480,0,0,192,0,936.2,712.2,90,54.32,0.4,0,0
480,0,0,192,0,936.2,712.2,3,24.4,0.4,0,0
333,0,0,192,0,931.2,842.6,3,15.62,0.576576577,0,0
255,0,0,192,0,889.8,945,90,21.86,0.752941176,0,0
255,0,0,192,0,889.8,945,7,10.22,0.752941176,0,0
289,0,0,192,0,913.2,895.3,7,14.6,0.664359862,0,0
255,0,0,192,0,889.8,945,28,18.75,0.752941176,0,0
333,0,0,192,0,931.2,842.6,28,31.97,0.576576577,0,0
333,0,0,192,0,931.2,842.6,7,23.4,0.576576577,0,0
289,0,0,192,0,913.2,895.3,28,25.57,0.664359862,0,0
333,0,0,192,0,931.2,842.6,90,41.68,0.576576577,0,0
393,0,0,192,0,940.6,785.6,7,27.74,0.488549618,0,0
255,0,0,192,0,889.8,945,3,8.2,0.752941176,0,0
158.8,238.2,0,185.7,0,1040.6,734.3,7,9.62,1.169395466,1.5,0
239.6,359.4,0,185.7,0,941.6,664.3,7,25.42,0.775041736,1.5,0
238.2,158.8,0,185.7,0,1040.6,734.3,7,15.69,0.779596977,0.666666667,0
181.9,272.8,0,185.7,0,1012.4,714.3,28,27.94,1.020890599,1.499725124,0
193.5,290.2,0,185.7,0,998.2,704.3,28,32.63,0.959689922,1.499741602,0
255.5,170.3,0,185.7,0,1026.6,724.3,7,17.24,0.726810176,0.666536204,0
272.8,181.9,0,185.7,0,1012.4,714.3,7,19.77,0.680718475,0.666788856,0
239.6,359.4,0,185.7,0,941.6,664.3,28,39.44,0.775041736,1.5,0
220.8,147.2,0,185.7,0,1055,744.3,28,25.75,0.841032609,0.666666667,0
397,0,0,185.7,0,1040.6,734.3,28,33.08,0.467758186,0,0
382.5,0,0,185.7,0,1047.8,739.3,7,24.07,0.485490196,0,0
210.7,316.1,0,185.7,0,977,689.3,7,21.82,0.881347888,1.500237304,0
158.8,238.2,0,185.7,0,1040.6,734.3,28,21.07,1.169395466,1.5,0
295.8,0,0,185.7,0,1091.4,769.3,7,14.84,0.627789047,0,0
255.5,170.3,0,185.7,0,1026.6,724.3,28,32.05,0.726810176,0.666536204,0
203.5,135.7,0,185.7,0,1076.2,759.3,7,11.96,0.912530713,0.666830467,0
397,0,0,185.7,0,1040.6,734.3,7,25.45,0.467758186,0,0
381.4,0,0,185.7,0,1104.6,784.3,28,22.49,0.486890404,0,0
295.8,0,0,185.7,0,1091.4,769.3,28,25.22,0.627789047,0,0
228,342.1,0,185.7,0,955.8,674.3,28,39.7,0.814473684,1.500438596,0
220.8,147.2,0,185.7,0,1055,744.3,7,13.09,0.841032609,0.666666667,0
316.1,210.7,0,185.7,0,977,689.3,28,38.7,0.587472319,0.666561215,0
135.7,203.5,0,185.7,0,1076.2,759.3,7,7.51,1.368459838,1.49963154,0
238.1,0,0,185.7,0,1118.8,789.3,28,17.58,0.779924402,0,0
339.2,0,0,185.7,0,1069.2,754.3,7,21.18,0.547464623,0,0
135.7,203.5,0,185.7,0,1076.2,759.3,28,18.2,1.368459838,1.49963154,0
193.5,290.2,0,185.7,0,998.2,704.3,7,17.2,0.959689922,1.499741602,0
203.5,135.7,0,185.7,0,1076.2,759.3,28,22.63,0.912530713,0.666830467,0
290.2,193.5,0,185.7,0,998.2,704.3,7,21.86,0.639903515,0.66678153,0
181.9,272.8,0,185.7,0,1012.4,714.3,7,12.37,1.020890599,1.499725124,0
170.3,155.5,0,185.7,0,1026.6,724.3,28,25.73,1.090428655,0.913094539,0
210.7,316.1,0,185.7,0,977,689.3,28,37.81,0.881347888,1.500237304,0
228,342.1,0,185.7,0,955.8,674.3,7,21.92,0.814473684,1.500438596,0
290.2,193.5,0,185.7,0,998.2,704.3,28,33.04,0.639903515,0.66678153,0
381.4,0,0,185.7,0,1104.6,784.3,7,14.54,0.486890404,0,0
238.2,158.8,0,185.7,0,1040.6,734.3,28,26.91,0.779596977,0.666666667,0
186.2,124.1,0,185.7,0,1083.4,764.3,7,8,0.997314715,0.666487648,0
339.2,0,0,185.7,0,1069.2,754.3,28,31.9,0.547464623,0,0
238.1,0,0,185.7,0,1118.8,789.3,7,10.34,0.779924402,0,0
252.5,0,0,185.7,0,1111.6,784.3,28,19.77,0.735445545,0,0
382.5,0,0,185.7,0,1047.8,739.3,28,37.44,0.485490196,0,0
252.5,0,0,185.7,0,1111.6,784.3,7,11.48,0.735445545,0,0
316.1,210.7,0,185.7,0,977,689.3,7,24.44,0.587472319,0.666561215,0
186.2,124.1,0,185.7,0,1083.4,764.3,28,17.6,0.997314715,0.666487648,0
170.3,155.5,0,185.7,0,1026.6,724.3,7,10.73,1.090428655,0.913094539,0
272.8,181.9,0,185.7,0,1012.4,714.3,28,31.38,0.680718475,0.666788856,0
339,0,0,197,0,968,781,3,13.22,0.581120944,0,0
339,0,0,197,0,968,781,7,20.97,0.581120944,0,0
339,0,0,197,0,968,781,14,27.04,0.581120944,0,0
339,0,0,197,0,968,781,28,32.04,0.581120944,0,0
339,0,0,197,0,968,781,90,35.17,0.581120944,0,0
339,0,0,197,0,968,781,180,36.45,0.581120944,0,0
339,0,0,197,0,968,781,365,38.89,0.581120944,0,0
236,0,0,194,0,968,885,3,6.47,0.822033898,0,0
236,0,0,194,0,968,885,14,12.84,0.822033898,0,0
236,0,0,194,0,968,885,28,18.42,0.822033898,0,0
236,0,0,194,0,968,885,90,21.95,0.822033898,0,0
236,0,0,193,0,968,885,180,24.1,0.81779661,0,0
236,0,0,193,0,968,885,365,25.08,0.81779661,0,0
277,0,0,191,0,968,856,14,21.26,0.689530686,0,0
277,0,0,191,0,968,856,28,25.97,0.689530686,0,0
277,0,0,191,0,968,856,3,11.36,0.689530686,0,0
277,0,0,191,0,968,856,90,31.25,0.689530686,0,0
277,0,0,191,0,968,856,180,32.33,0.689530686,0,0
277,0,0,191,0,968,856,360,33.7,0.689530686,0,0
254,0,0,198,0,968,863,3,9.31,0.779527559,0,0
254,0,0,198,0,968,863,90,26.94,0.779527559,0,0
254,0,0,198,0,968,863,180,27.63,0.779527559,0,0
254,0,0,198,0,968,863,365,29.79,0.779527559,0,0
307,0,0,193,0,968,812,180,34.49,0.628664495,0,0
307,0,0,193,0,968,812,365,36.15,0.628664495,0,0
307,0,0,193,0,968,812,3,12.54,0.628664495,0,0
307,0,0,193,0,968,812,28,27.53,0.628664495,0,0
307,0,0,193,0,968,812,90,32.92,0.628664495,0,0
236,0,0,193,0,968,885,7,9.99,0.81779661,0,0
200,0,0,180,0,1125,845,7,7.84,0.9,0,0
200,0,0,180,0,1125,845,28,12.25,0.9,0,0
225,0,0,181,0,1113,833,7,11.17,0.804444444,0,0
225,0,0,181,0,1113,833,28,17.34,0.804444444,0,0
325,0,0,184,0,1063,783,7,17.54,0.566153846,0,0
325,0,0,184,0,1063,783,28,30.57,0.566153846,0,0
275,0,0,183,0,1088,808,7,14.2,0.665454545,0,0
275,0,0,183,0,1088,808,28,24.5,0.665454545,0,0
300,0,0,184,0,1075,795,7,15.58,0.613333333,0,0
300,0,0,184,0,1075,795,28,26.85,0.613333333,0,0
375,0,0,186,0,1038,758,7,26.06,0.496,0,0
375,0,0,186,0,1038,758,28,38.21,0.496,0,0
400,0,0,187,0,1025,745,28,43.7,0.4675,0,0
400,0,0,187,0,1025,745,7,30.14,0.4675,0,0
250,0,0,182,0,1100,820,7,12.73,0.728,0,0
250,0,0,182,0,1100,820,28,20.87,0.728,0,0
350,0,0,186,0,1050,770,7,20.28,0.531428571,0,0
350,0,0,186,0,1050,770,28,34.29,0.531428571,0,0
203.5,305.3,0,203.5,0,963.4,630,7,19.54,1,1.5002457,0
250.2,166.8,0,203.5,0,977.6,694.1,90,47.71,0.813349321,0.666666667,0
157,236,0,192,0,935.4,781.2,90,43.38,1.222929936,1.503184713,0
141.3,212,0,203.5,0,971.8,748.5,28,29.89,1.44019816,1.500353857,0
166.8,250.2,0,203.5,0,975.6,692.6,3,6.9,1.220023981,1.5,0
122.6,183.9,0,203.5,0,958.2,800.1,90,33.19,1.659869494,1.5,0
183.9,122.6,0,203.5,0,959.2,800,3,4.9,1.106579663,0.666666667,0
102,153,0,192,0,887,942,3,4.57,1.882352941,1.5,0
